#{"t_start": 1715358974.7137992, "env_id": "None"}
r,l,t--15.2,11490,82.601762-12.2,16913,179.432806
-23.2,6748,232.35456
-23.2,5216,274.615872
-22.2,7397,335.400735
-2-26.2,6076,344.280639
